ranking,sknich,pygreg,Arbysguy,PenguinProphet,BlindManBaldwin,ThaddeusJP,Landsdownestreet,TangerineDiesel,milkchococurry,hurricane,morespikes,staub81,yoda133113,famouslastwords,wannaknowmyname,Sexterminator,preludeoflight,nickmangoldsbeard,sosuhme,analogWeapon,allsecretsknown,SPACE_LAWYER,newBreed,One_Half_Hamster,I_have_no_throwaway,ThatChrisDodge,Naly_D,iltat_work,smacksaw,Skarmotastic,philo13181,whirledworld
18,Bengals,Steelers,Redskins,Cowboys,Raiders,Raiders,Raiders,Titans,Saints,Buccaneers,Ravens,Jaguars,Saints,Steelers,Bengals,Bengals,Redskins,Buccaneers,Cowboys,Buccaneers,Steelers,Texans,Buccaneers,Vikings,Texans,Texans,Jaguars,Texans,Saints,Texans,Jaguars,Raiders
19,Vikings,Titans,Titans,Jets,Saints,Buccaneers,Buccaneers,Saints,Redskins,Vikings,Raiders,Buccaneers,Texans,Saints,Rams,Rams,Jaguars,Saints,Titans,Texans,Bengals,Buccaneers,Cowboys,Texans,Buccaneers,Cowboys,Raiders,Titans,Vikings,Saints,Raiders,Vikings
20,Ravens,Saints,Ravens,Buccaneers,Buccaneers,Saints,Redskins,Ravens,Rams,Ravens,Texans,Cardinals,Ravens,Ravens,Buccaneers,Jets,Titans,Jets,Saints,Titans,Dolphins,Saints,Dolphins,Titans,Ravens,Saints,Bengals,Ravens,Texans,Ravens,Jets,Bengals
21,Raiders,Bengals,Bills,Saints,Cowboys,Ravens,Saints,Raiders,Bengals,Raiders,Saints,Jets,Bengals,Raiders,Ravens,Buccaneers,Saints,Ravens,Vikings,Saints,Ravens,Ravens,Texans,Ravens,Bengals,Titans,Buccaneers,Saints,Bengals,Jets,Ravens,Jets
22,Saints,Buccaneers,Texans,Texans,Bengals,Titans,Dolphins,Jets,Bills,Bengals,Buccaneers,Ravens,Jets,Cardinals,Raiders,Cowboys,Ravens,Jaguars,Dolphins,Ravens,Titans,Titans,Jets,Jets,Raiders,Buccaneers,Titans,Chargers,Jets,Buccaneers,Texans,Ravens
23,Titans,Raiders,Saints,Ravens,Jets,Bengals,Cowboys,Texans,Dolphins,Jets,Jets,Titans,Raiders,Titans,Titans,Raiders,Bengals,Bengals,Ravens,Bengals,Saints,Bengals,Colts,Buccaneers,Cardinals,Bengals,Ravens,Jaguars,Ravens,Bengals,Dolphins,Buccaneers
24,Jets,Chargers,Dolphins,Dolphins,Cardinals,Cardinals,Titans,Dolphins,Jets,Titans,Titans,Bengals,Titans,Jets,Dolphins,Dolphins,Cardinals,Cardinals,Jets,Jets,Jets,Jets,Titans,Bengals,Jets,Bears,Cardinals,Jets,Dolphins,Titans,Titans,Chargers
25,Cardinals,Jets,Bengals,Titans,Colts,Jets,Cardinals,Cardinals,Cardinals,Cardinals,Chargers,Vikings,Dolphins,Dolphins,Jets,Titans,Dolphins,Dolphins,Bengals,Cardinals,Jaguars,Cardinals,Saints,Dolphins,Titans,Cardinals,Bears,Bengals,Titans,Dolphins,Bengals,Titans
26,Dolphins,Bears,Jets,Cardinals,Dolphins,Dolphins,Bears,Bears,Texans,Bears,Cardinals,Dolphins,Colts,Bengals,Cardinals,Chargers,Chargers,Titans,Cardinals,Bears,Cardinals,Dolphins,Bengals,Cardinals,Chargers,Chargers,Chargers,Cardinals,Cardinals,Cardinals,Colts,49ers
27,Chargers,Cardinals,Colts,Bears,Titans,Chargers,Bengals,Colts,Colts,Chargers,Colts,Chargers,Bears,Chargers,Bears,Cardinals,Jets,Chargers,Colts,Dolphins,Bears,Chargers,Cardinals,Colts,Dolphins,Dolphins,Jets,Dolphins,Colts,Chargers,Cardinals,Colts
28,Bears,Colts,Chargers,Chargers,Chargers,Bears,Colts,Bengals,Chargers,Dolphins,Giants,Giants,Chargers,Colts,Colts,Colts,Bears,Colts,Bears,Chargers,Colts,Bears,Chargers,Bears,Bears,Raiders,Dolphins,Bears,Chargers,Colts,Chargers,Dolphins
29,Colts,Dolphins,Bears,Giants,Bears,Colts,Giants,Chargers,Bears,Colts,Dolphins,Bears,Cardinals,Bears,Chargers,Bears,Colts,Bears,Chargers,Colts,Chargers,Colts,Bears,Chargers,Colts,Colts,Colts,Colts,Bears,Bears,Bears,Giants
30,Giants,Giants,Giants,Colts,Giants,49ers,Chargers,49ers,Giants,49ers,Bears,Colts,Giants,Giants,49ers,49ers,Giants,Giants,49ers,Giants,49ers,Giants,49ers,49ers,Giants,49ers,49ers,Giants,49ers,Giants,49ers,Browns
31,Browns,49ers,49ers,49ers,49ers,Giants,Browns,Giants,49ers,Giants,49ers,49ers,49ers,49ers,Giants,Giants,49ers,49ers,Browns,49ers,Browns,49ers,Giants,Giants,49ers,Browns,Browns,49ers,Giants,49ers,Giants,Cardinals
32,49ers,Browns,Browns,Browns,Browns,Browns,49ers,Browns,Browns,Browns,Browns,Browns,Browns,Browns,Browns,Browns,Browns,Browns,Giants,Browns,Giants,Browns,Browns,Browns,Browns,Giants,Giants,Browns,Browns,Browns,Browns,Bears
